key,rate
530330069001.0,0.0
530330116003.0,0.0
530330116005.0,0.0
530330120003.0,0.0
530330115002.0,0.0
530330120002.0,0.0
530330121002.0,0.0
530330120001.0,0.0
530330011001.0,0.0
530330041006.0,0.0
530330066002.0,0.0
530330067001.0,0.0
530330015002.0,0.0
530330032006.0,0.0
530330097024.0,0.0
530330032004.0,0.0
530330016002.0,0.0
530330015001.0,0.0
530330056003.0,0.0
530330056004.0,0.0
530330056001.0,0.0
530330058014.0,0.0
530330057006.0,0.0
530330056005.0,0.0
530330116006.0,0.0
530330058021.0,0.0
530330103001.0,0.0
530330103002.0,0.0
530330111014.0,0.0
530330101001.0,0.0
530330102001.0,0.0
530330102004.0,0.0
530330102003.0,0.0
530330042005.0,0.0
530330008002.0,0.0
530330009001.0,0.0
530330024002.0,0.0
530330039001.0,0.0
530330042001.0,0.0
530330022004.0,0.0
530330058013.0,0.0
530330121001.0,0.0
530330056002.0,0.0
530330093003.0,0.0
530330102002.0,0.0
530330040001.0,0.0
530330058023.0,0.0
530330022002.0,0.0
530330042004.0,0.0
530330042002.0,0.0
530330039002.0,0.0
530330054002.0,0.0
530330093001.0,0.0
530330070001.0,0.0
530330044003.0,0.0
530330117004.0,0.0
530330058022.0,0.0
530330052002.0,0.0
530330110011.0,0.0
530330108002.0,0.0
530330073003.0,1.8333333333333333
530330093002.0,0.0
530330022001.0,0.0
530330109002.0,0.0
530330040002.0,0.0
530330054003.0,0.0
530330057001.0,0.0
530330005003.0,0.0
530330064002.0,0.0
530330117002.0,0.0
530330110022.0,0.0
530330116001.0,0.0
530330099001.0,0.0
530330112001.0,0.0
530330119005.0,0.0
530330035001.0,0.0
530330016003.0,0.0
530330031001.0,0.0
530330031002.0,0.0
530330063003.0,0.0
530330043013.0,0.0
530330025002.0,0.0
530330038002.0,0.0
530330104021.0,0.0
530330094002.0,0.0
530330067004.0,0.0
530330012004.0,0.0
530330036002.0,0.0
530330095003.0,0.0
530330035002.0,0.0
530330114011.0,0.0
530330112002.0,0.0
530330097022.0,0.0
530330049005.0,0.0
530330087001.0,0.0
530330041002.0,0.0
530330097023.0,0.0
530330024003.0,0.0
530330038001.0,0.0
530330109001.0,0.0
530330041004.0,0.0
530330070006.0,0.0
530330086002.0,0.0
530330045002.0,0.0
530330007004.0,0.0
530330063004.0,0.0
530330117003.0,0.0
530330092002.0,2.6666666666666665
530330078001.0,0.0
530330094003.0,0.0
530330062001.0,0.0
530330091001.0,0.0
530330098004.0,0.0
530330098005.0,0.0
530330098003.0,0.0
530330043012.0,0.0
530330043022.0,0.0
530330114023.0,0.0
530330007003.0,0.0
530330066001.0,0.0
530330061001.0,0.0
530330048003.0,0.0
530330096001.0,0.0
530330104012.0,0.0
530330013001.0,0.0
530330057005.0,0.0
530330104023.0,0.0
